stop
1.05
1.00
1.88
1.06
1.03
4.80
2.24
3.71
1.33
1.02
1.51
1.28
6.53
2.81
1.52
3.62
2.57
1.31
2.19
2.07
1.00
2.50
2.03
26.22
12.97
29.86
2.61
1.76
